,,taxonID,scientificName,plotID,Easting,Northing,indvidualID,pointID,stem_distance,stem_azimuth,basalDiameter_cm,90degBasalDiameter_cm,diameterBreastHeight_cm,diameterBreastHeight_Height_cm,canopyDiameterMax_m,90degCanopyDiameter_m,canopyHeight_VD1,canopyHeight_VD2,stemRemarks,unknownID,stemStatus,canopyForm,living_percent,canopyInPlot_percent,healthStatus,materialSampleID,qf_DBH,qf_stemMap
325,325,CADE27,Calocedrus decurrens,SOAP139,297042.5,4100093.9,407,center,8.1,279,0,0,0.6,10,0.2,0.2,0.6,0,,430,NA,,100,100,,,0,0
326,326,CADE27,Calocedrus decurrens,SOAP139,297042.2,4100093.7,408,center,8.4,277.3,0,0,0.9,130,0.3,0.4,0.6,0,,431,NA,,100,100,,,0,0
327,327,CADE27,Calocedrus decurrens,SOAP139,297042.1,4100093.6,409,center,8.5,276.7,0,0,1,10,0.4,0.3,0.8,0,,432,NA,,100,100,,,0,0
328,328,CADE27,Calocedrus decurrens,SOAP95,298695.9,4100856.4,740,center,9.2,318.3,0,0,0.8,10,0.4,0.3,0.6,0,,303,NA,,100,100,,,0,0
329,329,CADE27,Calocedrus decurrens,SOAP139,297041.5,4100096.6,411,center,9.8,293.8,0,0,0.8,10,0.3,0.3,0.6,0,,434,NA,,100,100,,,0,0
330,330,CADE27,Calocedrus decurrens,SOAP63,299819.5,4101021.8,834,center,5.6,103.1,0,0,3.5,130,1,1,2,0,,144,NA,,0,100,dead w branches,,0,0
331,331,CADE27,Calocedrus decurrens,SOAP139,297041.3,4100096.5,413,center,10,292.8,0,0,0.7,10,0.3,0.2,0.5,0,,436,NA,,100,100,,,0,0
332,332,CADE27,Calocedrus decurrens,SOAP139,297041,4100096.7,414,center,10.3,293.1,0,0,0.7,10,0.3,0.2,0.6,0,,437,NA,,100,100,,,0,0
333,333,CADE27,Calocedrus decurrens,SOAP187,297532.9,4100555.1,292,center,5.4,353.1,0,0,2.8,10,0.4,0.6,1,0,,646,NA,,0,100,dead w branches,,0,0
334,334,CADE27,Calocedrus decurrens,SOAP187,297532.9,4100555.5,293,center,5.8,353.6,0,0,1.3,10,0.5,0.4,0.6,0,,647,NA,,0,100,dead w branches,,0,0
335,335,CADE27,Calocedrus decurrens,SOAP95,298710.5,4100851.6,707,center,8.7,75.9,0,0,32,130,4.7,4.1,14.1,-3.1,,270,NA,,100,100,,,0,0
336,336,CADE27,Calocedrus decurrens,SOAP187,297532.4,4100556,295,center,6.4,349.8,0,0,2.8,10,0.5,0.5,0.7,0,,649,NA,,0,100,dead w branches,,0,0
337,337,CADE27,Calocedrus decurrens,SOAP187,297532.8,4100556.4,296,center,6.7,353.7,0,0,2.4,10,0.4,0.7,0.9,0,,650,NA,,0,100,dead w branches,,0,0
338,338,CADE27,Calocedrus decurrens,SOAP139,297049.9,4100102.4,420,center,9.8,356.7,0,0,1.5,10,0.5,0.3,0.7,0,,443,NA,,100,100,,,0,0
339,339,CADE27,Calocedrus decurrens,SOAP187,297533.2,4100557,298,center,7.3,357.2,0,0,2.9,10,0.5,0.6,0.9,0,,652,NA,,0,100,dead w branches,,0,0
340,340,CADE27,Calocedrus decurrens,SOAP139,297044.2,4100101.7,422,center,11,325.3,0,0,69.3,130,6.5,6.1,25.1,-0.4,,445,NA,,100,100,,,0,0
341,341,CADE27,Calocedrus decurrens,SOAP139,297041.9,4100092.5,423,center,8.6,268.9,0,0,0.7,10,0.3,0.4,0.6,0,,446,NA,,100,100,,,0,0
342,342,CADE27,Calocedrus decurrens,SOAP139,297042.1,4100092.4,424,center,8.4,268.3,0,0,0.7,10,0.4,0.3,0.6,0,,447,NA,,100,100,,,0,0
343,343,CADE27,Calocedrus decurrens,SOAP139,297041.8,4100092.5,425,center,8.7,268.7,0,0,0.7,10,0.3,0.2,0.6,0,,448,NA,,100,100,,,0,0
344,344,CADE27,Calocedrus decurrens,SOAP43,297069.4,4100718.5,602,center,10.7,118.3,0,0,13.4,130,3.4,2.8,5.2,-1.6,,41,NA,,100,100,,,0,0
345,345,CADE27,Calocedrus decurrens,SOAP139,297043.4,4100092.4,427,center,7.1,268.4,0,0,1,10,0.4,0.3,0.6,0,,450,NA,,100,100,,,0,0
346,346,CADE27,Calocedrus decurrens,SOAP139,297043.8,4100092.6,428,center,6.7,269.4,0,0,0.9,10,0.3,0.2,0.6,0,,451,NA,,100,100,,,0,0
347,347,CADE27,Calocedrus decurrens,SOAP187,297528.5,4100551.9,305,center,5.5,293.1,0,0,79.5,130,9.8,9.1,20.4,-3.5,,659,NA,,100,100,,,0,0
348,348,CADE27,Calocedrus decurrens,SOAP63,299817.6,4101023.5,852,center,3.6,82.9,0,0,15.8,130,2.6,1.8,6.3,-3.3,,162,NA,,100,100,,,0,0
349,349,CADE27,Calocedrus decurrens,SOAP43,297066.9,4100718.7,607,center,8.5,125.1,0,0,8.5,130,2.2,2,2.6,-1.4,,46,NA,,100,100,,,0,0
350,350,CADE27,Calocedrus decurrens,SOAP43,297066.5,4100718.6,608,center,8.2,127.5,0,0,1.4,130,1.8,1.4,1.8,0,,47,NA,,100,100,,,0,0
351,351,CADE27,Calocedrus decurrens,SOAP43,297065.6,4100718.7,609,center,7.4,130.9,0,0,4.1,130,1.9,1.7,2.2,0,,48,NA,,100,100,,,0,0
352,352,CADE27,Calocedrus decurrens,SOAP143,299838.7,4100418,130,center,5,263.6,0,0,1.3,10,0.6,0.4,0.7,0,,457,NA,,100,100,,,0,0
353,353,CADE27,Calocedrus decurrens,SOAP143,299834.4,4100417.2,131,center,9.4,262.1,0,0,44,130,7,6.5,14.2,-2.5,,458,NA,,100,100,,,0,0
354,354,CADE27,Calocedrus decurrens,SOAP43,297067.4,4100715.7,612,center,10.8,136.7,0,0,1.9,130,1.4,1.4,1.3,0,,51,NA,,100,100,,,0,0
355,355,CADE27,Calocedrus decurrens,SOAP143,299837.3,4100416,133,center,6.9,248.5,0,0,37,130,6.1,5.9,14.4,-1.6,,460,NA,,100,100,,,0,0
356,356,CADE27,Calocedrus decurrens,SOAP331,297055.2,4100593.9,451,center,4.7,176.3,0,0,12.7,130,1.5,1.5,6.2,-1.4,,873,NA,,100,100,,,0,0
357,357,CADE27,Calocedrus decurrens,SOAP43,297069.7,4100715.4,615,center,12.7,130.3,0,0,1.5,130,1.8,1.5,1.6,0,,54,NA,,100,100,,,0,1
358,358,CADE27,Calocedrus decurrens,SOAP331,297057.2,4100602,494,center,4.1,34.1,0,0,2.6,10,0.8,0.8,1,0,,916,NA,,100,100,,,0,0
359,359,CADE27,Calocedrus decurrens,SOAP43,297061.6,4100715.2,617,center,8.6,168.9,0,0,15.5,130,4.8,4.8,4.3,-1.8,,56,NA,,100,100,,,0,0
360,360,CADE27,Calocedrus decurrens,SOAP43,297060.6,4100714.6,618,center,9,175.8,0,0,8,130,1.9,1.8,2.1,-1.6,,57,NA,,100,100,,,0,0
361,361,CADE27,Calocedrus decurrens,SOAP255,300136.3,4101386.2,1328,center,10.8,316.6,0,0,4.4,130,2.8,2,3,0,,795,NA,,100,100,,,0,0
362,362,CADE27,Calocedrus decurrens,SOAP63,299815,4101031.5,866,center,8.5,6.1,0,0,6.5,130,3,2,-1.2,-2.5,leaner,176,NA,,100,100,,,0,0
363,363,CADE27,Calocedrus decurrens,SOAP255,300137.5,4101385.4,1330,NW,3.6,110.2,0,0,8.9,130,2.8,2.8,2.4,-2.4,,797,NA,,100,100,,,0,0
364,364,CADE27,Calocedrus decurrens,SOAP255,300134.4,4101384.8,1331,NW,1.8,171.7,0,0,1.1,130,1.2,1,1.9,0,,798,NA,,100,100,,,0,0
365,365,CADE27,Calocedrus decurrens,SOAP43,297066.3,4100727.3,623,center,7.3,59.3,0,0,8.8,130,2.4,1.7,2.7,-1.6,,62,NA,,0,100,leaner dead w branches,,0,0
366,366,CADE27,Calocedrus decurrens,SOAP43,297065.5,4100728.7,624,center,7.5,47.2,0,0,8.9,130,2.7,1.8,2.5,1.6,,63,NA,,0,100,leaner dead w branches,,0,0
367,367,CADE27,Calocedrus decurrens,SOAP43,297064.2,4100726.6,625,center,5.2,54.8,0,0,12.1,130,3.7,3.4,3.5,-1.4,,64,NA,,100,100,,,0,0
368,368,CADE27,Calocedrus decurrens,SOAP63,299817.1,4101021.6,831,center,3.4,115.5,0,0,13.2,130,3.9,3.6,7.5,-2.6,,141,NA,,100,100,,,0,0
369,369,CADE27,Calocedrus decurrens,SOAP43,297069.5,4100732.5,627,center,13,47,0,0,3.1,10,1.1,1.1,1,0,,66,NA,,100,100,,,0,1
370,370,CADE27,Calocedrus decurrens,SOAP43,297066.8,4100731.7,628,center,10.6,39.8,0,0,2.1,10,0.9,0.9,0.8,0,,67,NA,,100,100,,,0,1
371,371,CADE27,Calocedrus decurrens,SOAP43,297065.7,4100731.6,629,center,9.8,35.7,0,0,20.2,130,3.8,3.6,10.6,-1.5,,68,NA,,100,100,,,0,1
372,372,CADE27,Calocedrus decurrens,SOAP43,297068.2,4100731.4,630,center,11.3,46.4,0,0,15.2,130,4.8,2.6,5.3,-1.5,,69,NA,,100,40,leaner,,0,1
373,373,CADE27,Calocedrus decurrens,SOAP43,297066.9,4100732.3,631,center,11.1,38.2,0,0,11.9,130,2.8,2.3,5.1,-1.5,,70,NA,,100,100,sick not many lvs,,0,1
374,374,CADE27,Calocedrus decurrens,SOAP95,298701.5,4100858.2,746,NE,12.4,268.7,0,0,1,10,0.4,0.4,0.7,0,,309,NA,,100,100,,,0,0
375,375,CADE27,Calocedrus decurrens,SOAP95,298699.7,4100858,747,NE,14.2,268,0,0,1.1,10,0.3,0.3,0.6,0,,310,NA,,100,100,,,0,0
376,376,CADE27,Calocedrus decurrens,SOAP63,299822.9,4101028.5,880,center,10.4,58.3,0,0,10.6,130,2.6,2.1,1.7,-4,,190,NA,,100,100,,,0,0
377,377,CADE27,Calocedrus decurrens,SOAP331,297063.2,4100600.6,513,center,8.5,76.1,0,0,6,130,1.7,1.6,2.8,0,,935,NA,,100,100,,,0,0
378,378,CADE27,Calocedrus decurrens,SOAP143,299838.8,4100414.3,1154,center,6.5,229.2,0,0,24.6,130,4.2,3.8,12.1,-1.1,,483,NA,,100,100,,,0,0
379,379,CADE27,Calocedrus decurrens,SOAP43,297057.8,4100729.8,637,center,6.6,340.9,0,0,21.4,130,4.1,4,8.5,-1.2,,76,NA,,100,100,,,0,0
380,380,CADE27,Calocedrus decurrens,SOAP143,299842.9,4100416.3,1156,center,2.4,199.5,0,0,31.8,130,6.1,4.4,14.7,0,,485,NA,,100,100,,,0,0
381,381,CADE27,Calocedrus decurrens,SOAP63,299820.8,4101024.4,885,center,6.9,78.7,0,0,42.4,130,4.5,3.4,20.4,-3.3,,195,NA,,100,100,,,0,0
382,382,CADE27,Calocedrus decurrens,SOAP43,297055.6,4100728.4,640,center,6.5,318.1,0,0,6.5,130,1.3,1.3,3,0,,79,NA,,0,100,dead w branches,,0,0
383,383,CADE27,Calocedrus decurrens,SOAP43,297054.8,4100728.6,641,center,7.2,314.1,0,0,3.6,130,1.5,1.3,2.3,0,,80,NA,,100,100,,,0,0
384,384,CADE27,Calocedrus decurrens,SOAP43,297054.5,4100727.6,642,center,6.8,306.6,0,0,1.7,10,0.8,0.4,0.7,0,,81,NA,,0,100,dead w branches,,0,0
385,385,CADE27,Calocedrus decurrens,SOAP43,297053.8,4100727.2,643,center,7.1,300.1,0,0,2.1,130,0.8,0.4,0.8,0,,82,NA,,0,100,dead w branches,,0,0
386,386,CADE27,Calocedrus decurrens,SOAP143,299849.9,4100411.2,1162,center,9.6,139.6,0,0,37.8,130,6.1,6.1,14.3,-0.5,,491,NA,,100,100,,,0,0
387,387,CADE27,Calocedrus decurrens,SOAP43,297055.6,4100727.8,645,center,6.1,314.2,0,0,5.8,130,2,1.1,2.8,0,,84,NA,,100,100,only 1 live branch,,0,0
388,388,CADE27,Calocedrus decurrens,SOAP43,297053.6,4100724.9,646,center,6.5,281.5,0,0,1.4,130,1,0.9,1.5,0,,85,NA,,0,100,dead w branches,,0,0
389,389,CADE27,Calocedrus decurrens,SOAP331,297055.5,4100603.8,525,center,5.2,6.5,0,0,3.4,10,1,1.1,1.2,0,,947,NA,,100,100,,,0,0
390,390,CADE27,Calocedrus decurrens,SOAP43,297053.2,4100726.5,648,center,7.4,293.5,0,0,16.8,130,3.8,3.8,6.2,-1.5,,87,NA,,100,100,,,0,0
391,391,CADE27,Calocedrus decurrens,SOAP43,297053.1,4100727.5,649,center,7.9,299.3,0,0,5.8,130,2.7,1.5,3.3,0,,88,NA,,100,100,,,0,0
392,392,CADE27,Calocedrus decurrens,SOAP299,297492.1,4100690.4,190,center,6,237.2,0,0,28.8,130,4.9,4.5,9.3,-2.7,,829,NA,,100,100,,,0,0
393,393,CADE27,Calocedrus decurrens,SOAP299,297494.4,4100690,191,center,4.6,217,0,0,20.2,130,4.2,3.6,7.6,-2.6,,830,NA,,100,100,,,0,0
394,394,CADE27,Calocedrus decurrens,SOAP95,298694.8,4100858.5,766,center,11.5,321.4,0,0,1,10,0.4,0.3,0.9,0,,329,NA,,100,100,,,0,0
395,395,CADE27,Calocedrus decurrens,SOAP331,297059.3,4100607.9,531,center,10.3,24.9,0,0,1.8,10,0.7,0.5,0.8,0,,953,NA,,100,100,,,0,0
396,396,CADE27,Calocedrus decurrens,SOAP63,299816.3,4101027.8,859,center,5.2,26.1,0,0,6.5,130,1.9,1.7,-0.5,-2.8,,169,NA,,100,100,,,0,0
397,397,CADE27,Calocedrus decurrens,SOAP43,297050.7,4100731.6,655,center,12.3,310.7,0,0,2.4,10,1.1,1,1.3,0,,94,NA,,100,100,,,0,1
398,398,CADE27,Calocedrus decurrens,SOAP187,297527.9,4100544,235,center,8,224.7,0,0,4.3,130,1.3,1,2.4,0,,589,NA,,0,100,dead w branches,,0,1
399,399,CADE27,Calocedrus decurrens,SOAP43,297053.3,4100729.7,657,center,9.1,312.5,0,0,37.9,130,5.1,4.9,15.2,-1.3,,96,NA,,100,100,,,0,0
400,400,CADE27,Calocedrus decurrens,SOAP43,297055.7,4100732.2,658,center,9.6,333.3,0,0,7.7,130,2.9,1.6,2.7,-1.7,,97,NA,,100,100,,,0,1
401,401,CADE27,Calocedrus decurrens,SOAP43,297055.6,4100732.4,659,center,9.8,333.4,0,0,4,130,2,1.7,2.9,0,,98,NA,,90,100,barely alive,,0,1
402,402,CADE27,Calocedrus decurrens,SOAP331,297064.4,4100604.5,538,center,11.1,58,0,0,2.1,10,0.7,0.6,1.2,0,,960,NA,,0,100,dead w branches,,0,0
403,403,CADE27,Calocedrus decurrens,SOAP143,299851.1,4100417.8,1179,center,7.4,95.3,0,0,38.8,130,6.7,5.6,17.1,-0.1,,508,NA,,100,100,,,0,0
404,404,CADE27,Calocedrus decurrens,SOAP63,299805.5,4101027.9,908,center,9.8,299.7,0,0,2.1,130,0.9,0.7,1.5,0,,218,NA,,0,100,dead w branches,,0,0
405,405,CADE27,Calocedrus decurrens,SOAP331,297051.9,4100599.9,541,center,3.3,292.9,0,0,22.1,130,2.2,2.6,9,-1.3,,963,NA,,100,100,,,0,0
406,406,CADE27,Calocedrus decurrens,SOAP143,299845.1,4100420.2,1182,center,2.2,40.9,0,0,1.3,10,0.4,0.4,0.7,0,,511,NA,,100,100,,,0,0
407,407,CADE27,Calocedrus decurrens,SOAP95,298703.9,4100858.4,698,center,9.1,11.7,0,0,11.9,130,3.5,2.7,8.3,-2.4,,261,NA,,100,100,,,0,0
408,408,CADE27,Calocedrus decurrens,SOAP255,300136,4101383.7,1334,NW,3.5,147.6,0,0,12.3,130,3.5,3,3.5,-3.5,,801,NA,,100,100,,,0,0
409,409,CADE27,Calocedrus decurrens,SOAP187,297532.7,4100553.5,286,center,3.9,348.1,0,0,1.9,10,0.7,0.5,0.7,0,,640,NA,,0,100,dead w branches,,0,0
410,410,CADE27,Calocedrus decurrens,SOAP63,299813.7,4101022.5,793,center,0.7,212.2,0,0,9.9,130,2.5,2.2,3.3,-1.2,,103,NA,,100,100,,,0,0
411,411,CADE27,Calocedrus decurrens,SOAP63,299813.1,4101021.2,794,center,2.1,206.7,0,0,2.2,130,1,0.6,1.9,0,,104,NA,,0,100,dead w branches,,0,0
412,412,CADE27,Calocedrus decurrens,SOAP63,299813.1,4101020.8,795,center,2.5,202.8,0,0,10,130,2.2,2.1,4.3,0,,105,NA,,100,100,,,0,0
413,413,CADE27,Calocedrus decurrens,SOAP95,298700.6,4100847.7,664,center,2.3,218.4,0,0,8.6,130,2.1,1.4,2.6,-1.5,,227,NA,,0,100,dead w branches,,0,0
414,414,CADE27,Calocedrus decurrens,SOAP187,297536.6,4100545.1,251,center,5.5,146.4,0,0,17,130,3.4,3.1,4.8,-1.2,,605,NA,,100,100,,,0,1
415,415,CADE27,Calocedrus decurrens,SOAP143,299851.7,4100420.3,1191,center,8.2,77.4,0,0,35.8,130,5.1,4.4,13.4,-0.6,,520,NA,,100,100,,,0,0
416,416,CADE27,Calocedrus decurrens,SOAP63,299812.8,4101015.6,799,center,7.6,189.5,0,0,13.6,130,3.2,2.4,7.1,-0.6,,109,NA,,100,100,,,0,0
417,417,CADE27,Calocedrus decurrens,SOAP63,299813.3,4101014.8,800,center,8.3,185,0,0,7.3,130,1.5,1.5,3.6,-0.7,,110,NA,,0,100,dead w branches,,0,0
418,418,CADE27,Calocedrus decurrens,SOAP331,297052.9,4100595.2,433,center,4,211.3,0,0,7.4,130,0.7,0.6,2.9,0,,855,NA,,0,100,dead w branches,,0,0
419,419,CADE27,Calocedrus decurrens,SOAP63,299809.8,4101014.4,802,SW,6.8,79.3,0,0,1.8,130,1.3,1.1,1.7,0,,112,NA,,0,100,dead w branches,,0,0
420,420,CADE27,Calocedrus decurrens,SOAP331,297053.8,4100595.2,435,center,3.6,197.9,0,0,15.2,130,2.4,2.2,6.7,-1.5,,857,NA,,100,100,,,0,0
421,421,CADE27,Calocedrus decurrens,SOAP331,297045.5,4100588.7,436,center,13.7,223.4,0,0,21,130,3.3,2.7,10.4,0,,858,NA,,100,100,,,0,0
422,422,CADE27,Calocedrus decurrens,SOAP331,297048.7,4100590.8,437,SW,4.5,58.6,0,0,13.4,130,2.6,2.4,3.3,-1.7,,859,NA,,100,100,,,0,0
423,423,CADE27,Calocedrus decurrens,SOAP331,297048,4100589,438,SW,3.2,80,0,0,20,130,2.9,2.4,7.2,-1.9,,860,NA,,0,100,dead w branches,,0,0
424,424,CADE27,Calocedrus decurrens,SOAP331,297046.9,4100589.7,439,SW,2.3,59.4,0,0,5.3,130,1,0.7,0.1,-1.7,,861,NA,,0,100,dead w branches top snapped,,0,0
425,425,CADE27,Calocedrus decurrens,SOAP95,298700.7,4100841.6,676,SW,8.8,73.5,0,0,14.9,130,3.1,2.5,5.9,-2.4,,239,NA,,100,100,,,0,0
426,426,CADE27,Calocedrus decurrens,SOAP331,297047.4,4100592,441,SW,4.3,35.7,0,0,22.4,130,3.9,3,7.4,-1.2,,863,NA,,100,100,,,0,0
427,427,CADE27,Calocedrus decurrens,SOAP255,300146.1,4101376.7,1273,center,2.9,123.8,0,0,1.8,10,0.7,0.5,1,0,,740,NA,,0,100,dead w branches,,0,0
428,428,CADE27,Calocedrus decurrens,SOAP331,297047.9,4100593.9,443,SW,6.2,29.3,0,0,13.8,130,2.5,2.3,5.1,-1.8,,865,NA,,100,100,,,0,0
429,429,CADE27,Calocedrus decurrens,SOAP331,297047.3,4100595.2,444,SW,7.1,19.6,0,0,20.9,130,3.8,3.2,11.2,-1.6,,866,NA,,100,100,,,0,0
430,430,CADE27,Calocedrus decurrens,SOAP63,299807.5,4101018.5,813,SW,6.9,39.5,0,0,2.5,10,0.6,0.6,1.2,0,,123,NA,,0,100,dead w branches,,0,0
431,431,CADE27,Calocedrus decurrens,SOAP95,298705.9,4100847.2,682,center,4.5,120.1,0,0,18.9,130,3.4,2.5,10.2,-1.4,,245,NA,,100,100,,,0,0
432,432,CADE27,Calocedrus decurrens,SOAP95,298704.1,4100845.8,683,center,4.2,151.1,0,0,17.2,130,3.4,3.8,6.9,-2.5,,246,NA,,100,100,,,0,0
433,433,CADE27,Calocedrus decurrens,SOAP331,297055.7,4100597.7,448,center,1.2,139.1,0,0,22.5,130,2.9,3.1,9.4,-1.5,,870,NA,,100,100,,,0,0
434,434,CADE27,Calocedrus decurrens,SOAP187,297536.2,4100558.3,271,center,9,17.4,0,0,2.9,10,0.8,0.7,1.4,0,,625,NA,,0,100,dead w branches,,0,0
435,435,CADE27,Calocedrus decurrens,SOAP63,299816.2,4101025.8,858,center,3.5,38.5,0,0,7.1,130,2.4,1.7,1,-2.8,leaner,168,NA,,0,100,dead w branches,,0,0
436,436,CADE27,Calocedrus decurrens,SOAP95,298708.3,4100846.4,699,center,7,116.7,0,0,7.6,130,2.9,2,3.7,-1.5,,262,NA,,100,100,leaner,,0,0
437,437,CADE27,Calocedrus decurrens,SOAP95,298704.1,4100843.3,688,center,6.5,161.3,0,0,12.5,130,2,1.4,7.9,-0.6,,251,NA,,100,100,,,0,0
438,438,CADE27,Calocedrus decurrens,SOAP187,297534.9,4100555.8,275,center,6.2,12.2,0,0,2.7,10,0.8,0.6,1,0,,629,NA,,0,100,dead w branches,,0,0
439,439,CADE27,Calocedrus decurrens,SOAP255,300152.3,4101382.3,1285,center,9.5,65.3,0,0,1.8,10,0.7,0.7,0.9,0,,752,NA,,0,100,dead w branches,,0,0
440,440,CADE27,Calocedrus decurrens,SOAP331,297057.2,4100589.8,455,center,9.1,165.9,0,0,10.8,130,2,1.7,1.8,-1.6,,877,NA,,100,100,,,0,0
441,441,CADE27,Calocedrus decurrens,SOAP143,299853.1,4100428.3,1217,center,13.6,43.8,0,0,26.2,130,4,3,8.1,-2.1,,546,NA,,100,100,,,0,1
442,442,CADE27,Calocedrus decurrens,SOAP63,299814.6,4101018,825,center,5.1,173.3,0,0,7.6,130,1.9,1.3,3.4,-1.3,,135,NA,,100,100,,,0,0
443,443,CADE27,Calocedrus decurrens,SOAP63,299815.4,4101018.7,826,center,4.6,163.6,0,0,2.8,130,1.1,0.8,2,0,,136,NA,,0,100,dead w branches,,0,0
444,444,CADE27,Calocedrus decurrens,SOAP63,299814.8,4101019.7,827,center,3.5,167.5,0,0,13.3,130,2.5,3,7.9,0,,137,NA,,100,100,,,0,0
445,445,CADE27,Calocedrus decurrens,SOAP63,299815.7,4101019.2,828,center,4.2,156.3,0,0,5.9,130,1.9,1.6,2.1,-1.4,,138,NA,,0,100,dead w branches,,0,0
446,446,CADE27,Calocedrus decurrens,SOAP143,299848,4100428.1,1222,center,10.5,24.2,0,0,31.6,130,5.3,4.1,9,-2.5,,551,NA,,100,100,,,0,0
447,447,CADE27,Calocedrus decurrens,SOAP255,300134.5,4101384.7,1333,NW,1.9,169.2,0,0,11.4,130,3.1,2.6,4.8,-1.3,,800,NA,,100,100,,,0,0
448,448,CADE27,Calocedrus decurrens,SOAP187,297532.5,4100551,284,center,1.7,320.1,0,0,2.5,10,0.7,0.5,0.8,0,,638,NA,,0,100,dead w branches,,0,0
449,449,CADE27,Calocedrus decurrens,SOAP63,299819.7,4101016.3,845,SE,4.6,298.8,0,0,15,130,2.7,2.6,5.9,-3.2,,155,NA,,100,100,,,0,0
450,450,CADE27,Calocedrus decurrens,SOAP187,297531.7,4100553.5,287,center,4.2,334,0,0,2.3,10,0.6,0.6,1,0,,641,NA,,0,100,dead w branches,,0,0
451,451,CADE27,Calocedrus decurrens,SOAP95,298706.7,4100849.7,702,center,4.7,87.1,0,0,12.3,130,3.2,2.7,4.1,-2.3,,265,NA,,100,100,,,0,0
452,452,CADE27,Calocedrus decurrens,SOAP187,297532.2,4100554.9,289,center,5.4,345,0,0,1.3,10,0.5,0.4,0.7,0,,643,NA,,0,100,dead w branches,,0,0
453,453,CADE27,Calocedrus decurrens,SOAP95,298709,4100850.5,704,center,7.1,81.8,0,0,8.5,130,2,1.7,2.3,-2.5,,267,NA,,100,100,,,0,0
454,454,CADE27,Calocedrus decurrens,SOAP63,299824,4101020.5,837,SE,6.4,1.7,0,0,6.2,130,1.8,1.6,3.8,0,leans out of plot,147,NA,,100,100,sparse lvs,,0,1
455,455,CADE27,Calocedrus decurrens,SOAP63,299823.5,4101019.5,838,SE,5.4,356.9,0,0,10,130,2.6,2.6,3.6,-3,,148,NA,,100,100,,,0,1
456,456,CADE27,Calocedrus decurrens,SOAP43,297065.5,4100722.2,592,center,5.7,104.4,0,0,2.6,130,0.8,1,1.6,0,,31,NA,,100,100,,,0,0
457,457,CADE27,Calocedrus decurrens,SOAP255,300144.2,4101379.9,1303,center,1.6,20,0,0,7.8,130,2.1,2,1.7,-2.5,,770,NA,,100,100,,,0,0
458,458,CADE27,Calocedrus decurrens,SOAP63,299822.2,4101020,841,SE,6.1,345,0,0,8.4,130,1.6,1.5,5.5,0,,151,NA,,0,100,dead w branches,,0,0
459,459,CADE27,Calocedrus decurrens,SOAP63,299823.1,4101021.3,842,SE,7.2,354.4,0,0,1.5,130,1,0.8,1.5,0,,152,NA,,0,100,dead w branches,,0,1
460,460,CADE27,Calocedrus decurrens,SOAP95,298709.4,4100852.2,711,NE,7.7,216,0,0,7.1,130,2.6,2.4,2.6,-1,,274,NA,,100,100,,,0,0
461,461,CADE27,Calocedrus decurrens,SOAP143,299838.4,4100427.9,1237,center,10.8,330.4,0,0,18.9,130,2.4,2,4.8,-3.8,,566,NA,,100,100,,,0,0
462,462,CADE27,Calocedrus decurrens,SOAP95,298694.8,4100858.9,765,center,11.8,322.5,0,0,1.6,10,0.5,0.5,0.9,0,,328,NA,,100,100,,,0,0
463,463,CADE27,Calocedrus decurrens,SOAP63,299818.6,4101015.7,846,SE,5.4,287.6,0,0,4,130,1.6,1.4,2.9,0,,156,NA,,0,100,dead w branches,,0,0
464,464,CADE27,Calocedrus decurrens,SOAP43,297068.8,4100720.3,600,center,9.4,110.6,0,0,7.8,130,2.1,2.3,3.4,-1.5,,39,NA,,100,100,,,0,0
465,465,CADE27,Calocedrus decurrens,SOAP255,300143.2,4101387.1,1311,center,8.8,357,0,0,1.8,130,1.3,1.1,1.7,0,,778,NA,,100,100,,,0,0
466,466,CADE27,Calocedrus decurrens,SOAP255,300141.5,4101386.7,1312,center,8.6,345.2,0,0,1.9,10,0.9,0.8,0.9,0,,779,NA,,100,100,,,0,0
467,467,CADE27,Calocedrus decurrens,SOAP255,300139.4,4101387.4,1313,center,10,334.3,0,0,1.6,10,0.7,0.5,0.9,0,,780,NA,,100,100,,,0,0
468,468,CADE27,Calocedrus decurrens,SOAP43,297069,4100718.1,603,center,10.5,121.3,0,0,2.1,130,0.8,1,1.8,0,,42,NA,,0,100,dead w branches,,0,0
469,469,CADE27,Calocedrus decurrens,SOAP43,297067.4,4100719,605,center,8.7,121.8,0,0,2.6,130,1.5,1.3,1.9,0,,44,NA,,100,100,,,0,0
470,470,CADE27,Calocedrus decurrens,SOAP95,298710.9,4100858.3,721,center,12.5,45.2,0,0,1.2,10,0.5,0.3,0.7,0,,284,NA,,100,100,,,0,0
471,471,CADE27,Calocedrus decurrens,SOAP331,297059.7,4100595.7,486,center,5.6,120.9,0,0,13.5,130,2.4,2.2,4.4,-1.9,,908,NA,,100,100,,,0,0
472,472,CADE27,Calocedrus decurrens,SOAP331,297055.4,4100599,487,center,0.6,52.4,0,0,21.1,130,0,0,3.2,0,,909,NA,,0,100,dead w no branches top snapped,,0,0
473,473,CADE27,Calocedrus decurrens,SOAP95,298694.5,4100858.9,763,center,12,321.2,0,0,1.2,10,0.4,0.3,0.9,0,,326,NA,,100,100,,,0,0
474,474,CADE27,Calocedrus decurrens,SOAP63,299816.5,4101025.4,857,center,3.4,46,0,0,18,130,5.9,3,2.4,-4.1,extreme leaner,167,NA,,100,100,,,0,0
